text,label
सपना तो कोई भी देख सकता है चाहे कोई भी जाति या समुदाय हो देश के भविष्य के साथ अन्याय क्यों शिक्षा में आरक्षण क्यों,0
anushka sharma is one of the best she is the queen of bollywood fashion  anushka sharma queen  anushka sharma url,0
भारतीय शास्त्रीय संगीत के विश्वविख्यात नाम पंडित जसराज जी के निधन की दुखद ख़बर मिली। शास्त्रीय संगीत कला को पंडित जसराज जी एक नए आयाम पर लेकर गए। ऐसी महान दिवंगत आत्मा को प्रभु अपने श्री चरणों में स्थान दें और उनके अनगिनत चाहने वालों को इस दुख को सहने का साहस दें।,0
bet he biggest pussy ever wit no gun in hand,1
बच्चे पैदा करते हैं कहते हैं अल्लाह की देन है और जब भूखे मरते हैं तो कहते हैं मोदी की देन है है ना अजब तमाशा और पशुओं सा जीवन अपने ही घर को आग मे झोकते हे संख्या बल की ताक़त से समाज और सरकार को आंख दिखाते हैं,1
ऊसके मुंह में कटा हुआ जो ठुसा है।कैसे बोलेगा हरामी।,1
shes a piece of shit i hope she catches an std,1
bitches have 20 abortions and want they pussy atebitch who finna eat a cemetery url,1
बेहद भयावह स्थिति है यह वायरल वीडियो पटना एम्स ओपीडी का बताया जा रहा है। 15 वर्षों से cm जी बिहारवासियों की जान से खेल रहे हैं जमींदोज स्वास्थ्य सेवाओं के कारण ही आज लोगों की जान खतरे में है। कोरोना संकट में भी लापरवाह पर रैली रोज़ बदलिए सरकार बदलेगा बिहार,0
california would be a better place without all the dirty mexicans,1
however then were no better than these dirty animal migrants,1
धांसू फीचर वाला वेस्पा का नया स्कूटर 1 हजार रुपये में कर सकते हैं बुक,0
equality freedom and human rightsit is such a beautiful things,0
जैसे न्यूज़ चैनल दिन रात हिन्दू मुस्लिम करते है उसी तरीके से आप फिल्म क्रिटिक्स के हर लेख में हिन्दू मुसलमान एंगेल ढूंढ़ लाते है फिल्म क्रिटिक का चोला छोड़ कर राजनितिक विश्लेषकबीजेपी प्रवक्ता कब बन गए पता ही नहीं चला।,1
जब भी कानों में आवाज आने लगे संविधान और लोकतंत्र खतरे में है समझ लेना चौकीदार ने एक नया चोर पकड़ लिया जिस कारण कुत्ते भौंक रहे हैं,1
